token,count,trait,canonical,how,examples
重鋸齒緣,35,leaf_margin,serrate,rule:margin,葉懸鉤子|川上氏鵝耳櫪|化香樹
銳尖葉端,35,,,UNMAPPED,九節木|土常山|大井忍冬
粗鋸齒緣,34,leaf_margin,serrate,rule:margin,小果山龍眼|山桐子|天腳板
短柔毛,33,surface_hair,pubescent,direct,千金不藤|千瓣白桃|大果油麻藤
翅果,33,fruit_type,samara,direct,小果紫薇|中原氏掌葉槭|木賊葉木麻黃
觀賞植物,33,,,UNMAPPED,小葉魚藤|木患子|王棕
一年生草本,32,,,UNMAPPED,天人菊|茼蒿菊|貝殼花
披針形小葉,32,,,UNMAPPED,三叉虎|三叉虎|三椏苦
竹子,32,,,UNMAPPED,方竹|毛竹|四方竹
黃色花朵,32,,,UNMAPPED,毛苦參|月橘|白葉藤
銳尖,31,,,UNMAPPED,大花紫薇|水栗子|牛見愁
全株被毛,30,,,UNMAPPED,小香藤|木菁|毛木藍
心形葉,30,leaf_shape,cordate,strip:心形,七面芙蓉|山桐子|木芙蓉
橢圓形果實,30,fruit_shape,ellipsoid,direct,小葉桑|五掌楠|木薯
蔓性,30,life_form,vine,direct,九重葛|小果葉下珠|小葉黃肉樹
鈍鋸齒緣,30,leaf_margin,serrate,rule:margin,山苧麻|犬黃楊|玉山薔薇
直立莖,29,,,UNMAPPED,蘇鐵蕨|非洲菊|洛神葵
球形蒴果,28,fruit_shape,globose,rule:fruit,三叉虎|三叉虎|三腳鱉
疏鋸齒緣,28,leaf_margin,serrate,rule:margin,大南蛇|小果冬青|光果南蛇藤
短毛,28,,,UNMAPPED,中華胡枝子|水金京|幼葉樟
紅色果實,28,,,UNMAPPED,小果冬青|小葉傘花樹|巴西胡椒木
輪生葉序,28,leaf_arrangement,whorled,strip:輪生,小花黃蟬|山馬蹄|川上氏小蘗
長橢圓形小葉,28,,,UNMAPPED,小葉山螞蝗|巴西紫葳|毛胡枝子
長橢圓形葉形,28,,,UNMAPPED,八角仔|大葉榕|大實肉豆蔻
三出脈,27,,,UNMAPPED,土肉桂|小芽新木薑子|小葉樟
乳汁,27,,,UNMAPPED,大葉山欖|山馬茶|山欖
倒卵形葉片,27,leaf_shape,obovate,strip:倒卵形,三蕊楠|千金不藤|小葉欖仁樹
卵狀長橢圓形,27,,,UNMAPPED,大葉山螞蝗|山豬枷|六捻仔
漏斗狀花冠,27,,,UNMAPPED,不驚茶|天寶花|伊培樹
腋生花,27,,,UNMAPPED,大紅袍|大頭茶|太平冬青
草本植物,27,life_form,herb,direct,使君子|細齒水蛇麻|蟲蟻麻
頂生花序,27,,,UNMAPPED,小西氏鐵樹|山石榴|王不留行
假種皮,26,,,UNMAPPED,大葉黃楊|丹荔|火山
台灣原生,26,,,UNMAPPED,上樹蜈蚣|大血藤|大果榕
倒披針形葉,25,,,UNMAPPED,大葉木犀|大葉楠|小葉樹杞
堅果,25,fruit_type,nut,direct,子彈石櫟|小西氏石櫟|反刺櫧
扁平莢果,24,,,UNMAPPED,大葉山扁豆|山扁豆|石決明
短總狀花序,24,,,UNMAPPED,三裂葉葛藤|小葛藤|木豆
紫黑色果實,24,,,UNMAPPED,土常山|小梗木薑子|小梗黃肉楠
闊卵形葉,24,,,UNMAPPED,大花假虎刺|女貞木|五色梅
棘刺,23,,,UNMAPPED,大花假虎刺|山石榴|山柑仔
紅熟果實,23,,,UNMAPPED,千年紅|小葉懸鉤子|毛萼懸鉤子
腺毛,23,,,UNMAPPED,山埔鹽|山鹽菁|毛寶巾
卵形小葉,22,,,UNMAPPED,小葛藤|石決明|羊角豆
橢圓形小葉,22,,,UNMAPPED,三葉山香圓|小實孔雀豆|孔雀豆
無毛,22,surface_hair,glabrous,direct,大葉榿寄生|小芽新木薑子|小葉三點金草
缺乏詳細形態描述,22,,,UNMAPPED,短尾葉石櫟|糙葉樹屬|菲律賓榕
肉質葉,22,leaf_texture,succulent,direct,水草|正藤木槲|灰莉
卵狀披針形葉,21,,,UNMAPPED,大花曼陀羅|大葉桉|水柳
橢圓形葉形,21,,,UNMAPPED,大金英|山石榴|山胡椒
淡紫色花,21,,,UNMAPPED,九重吹|小山螞蝗|小螞蝗
紅葉,21,,,UNMAPPED,大白匏仔|山埔鹽|山鹽菁
絹毛,21,,,UNMAPPED,三葉豬屎豆|大葉杜仔|大葉校栗
線形葉,21,leaf_shape,linear,strip:線形,太陽麻|牛尾杉|玉山竹
肉穗花序,21,,,UNMAPPED,大王椰子|孔雀椰子|王棕
被毛,21,surface_hair,pubescent,direct,三十六蕩|三十六蕩|大赦婆榕
長卵形葉,21,,,UNMAPPED,天波羅|毛蕊木|毛蕊越橘
對生小葉,20,leaf_arrangement,opposite,contains:對生,九重吹|山豆根|仁杞
漿果狀果實,20,,,UNMAPPED,水麻|白子仔|白飯樹
白花,20,flower_color,white,direct,九節木|山大刀|五色梅
紫紅色花,20,,,UNMAPPED,山石榴|木菁|毛木藍
線狀披針形,20,,,UNMAPPED,土杉|山相思|王蘭
肉質莖,20,leaf_texture,succulent,rule:texture,天寶花|沙漠玫瑰|青珊瑚
鐘形花冠,20,,,UNMAPPED,大葉木犀|小緋櫻|山櫻花
不規則鋸齒緣,19,leaf_margin,serrate,rule:margin,白馬桑|交力坪懸鉤子|花蓮懸鉤子
倒卵形花瓣,19,,,UNMAPPED,大同灰葉懸鉤子|木槿|水錦花
倒卵形葉形,19,,,UNMAPPED,水草|牛乳樹|犬黃楊
橢圓狀披針形葉,19,,,UNMAPPED,大青|小泉氏灰木|白千層
線形莢果,19,,,UNMAPPED,木菁|木藍|毛木藍
聚合果,19,,,UNMAPPED,小葉傘花樹|天波羅|百眼藤
藥用價值,19,,,UNMAPPED,土常山|大羅傘|小葉木蕗藤
銳尖先端,19,,,UNMAPPED,小西氏石櫟|小果山龍眼|水冬瓜
五裂花冠,18,,,UNMAPPED,山石榴|白丁花|白馬骨
台灣原生植物,18,,,UNMAPPED,大葉榕|夏粥|鳥雞骨
披針形葉形,18,,,UNMAPPED,山芥菜|天腳板|水金京
橙紅色果實,18,,,UNMAPPED,十里香|七里香|大冇樹
氣生根,18,special_features,aerial_root,direct,正榕|孟占明榕|垂榕
波浪狀葉緣,18,,,UNMAPPED,單藥花|曇花|黃蟬
淺鋸齒緣,18,leaf_margin,serrate,rule:margin,大丁黃|山車|白雞油舅
短聚繖花序,18,,,UNMAPPED,十字木|子楝樹|山橘
紫色花,18,flower_color,purple,direct,山毛豆花|中國紫藤|太白山杭子梢
缺乏詳細描述資料,18,,,UNMAPPED,青楊梅|黃杞|沙楠子樹
一回羽狀複葉,17,,,UNMAPPED,七葉蓮|山豆根|山扁豆
倒披針形,17,,,UNMAPPED,大明橘|七里香|小葉石楠
光澤葉面,17,,,UNMAPPED,小梗黃肉楠|丹荔|印度膠樹
半落葉,17,,,UNMAPPED,大白匏仔|大萼山礬|山礬
台灣原生種,17,,,UNMAPPED,正榕|香楓|烏松
台灣特有,17,endemism,endemic,rule:endemism,山枇杷|川上氏石櫟|水柳
尾狀漸尖,17,,,UNMAPPED,小果冬青|巨竹|玉山糯米樹
梨形果實,17,,,UNMAPPED,大金英|山石榴|山雞頭子
橢圓狀披針形,17,,,UNMAPPED,千瓣白桃|毛桃|水蜜桃
波狀緣葉緣,17,leaf_margin,wavy,strip:波狀緣,大葉楓寄生|小花鼠刺|山芥菜
紅果實,17,,,UNMAPPED,山苺|玉山懸鉤子|石楠
線狀披針形葉,17,,,UNMAPPED,牛碲藤|矢竹仔|白松柏
雌雄同株,17,reproductive_system,monoecious,direct,孔雀椰子|水漆|印度酒椰子
卵狀橢圓形葉,16,,,UNMAPPED,十字木|小芽新木薑子|山素英
廣卵形葉,16,,,UNMAPPED,小號犁頭樹|白馬桑|克蘭樹
披針形葉片,16,leaf_shape,lanceolate,strip:披針形,仁杞|吉貝棉|秀柱花
掌狀脈,16,,,UNMAPPED,大冇樹|石栗|白樹仔
紫紅色果實,16,,,UNMAPPED,小六角|山柑|山柚仔
落葉喬木,16,,,UNMAPPED,布氏稠李|紅柿|高山小白櫻
藥用,16,,,UNMAPPED,小香藤|太白山杭子梢|玉山薔薇
長柄葉,16,,,UNMAPPED,山枇杷|牛皮消|白首烏
低海拔,15,,,UNMAPPED,土密樹|大青|山石榴
佛焰花序,15,inflorescence,spadix,direct,一品紅|可可椰子|玉山箭竹
寄生植物,15,,,UNMAPPED,刀葉槲寄生|大葉桑寄生|大葉楓寄生
深裂花冠,15,,,UNMAPPED,水草|平遮那灰木|赤血仔
革質葉面,15,leaf_texture,coriaceous,rule:texture,九重吹|山柑仔|天竺桂
黑色果實,15,,,UNMAPPED,三加皮|三葉五加|小葉黃鱔藤
匍匐莖,14,,,UNMAPPED,紅花灰毛豆|月桃|紅花假杜鵑
同型世代交替雌雄異株,14,,,UNMAPPED,太平洋石花菜|縊龍鬚菜|耳殼藻
圓錐狀聚繖花序,14,,,UNMAPPED,山漆|不驚茶|巴西橡膠樹
宿存萼,14,,,UNMAPPED,山紅柿|不驚茶|水筆仔
尾狀先端,14,,,UNMAPPED,小泉氏灰木|四川灰木|白匏仔
扁球形蒴果,14,fruit_shape,globose,rule:fruit,六捻仔|巴西紫葳|紅果果
掌狀深裂葉,14,leaf_margin,lobed,rule:margin,大號飯芮樹|俾斯麥櫚|棕竹
油腺,14,,,UNMAPPED,山油柑|山柑|石苓舅
淡紅色花,14,,,UNMAPPED,一條根|千斤拔|大葉千金拔
白色小花,14,,,UNMAPPED,九龍藤|女貞木|菊花木
管狀花,14,,,UNMAPPED,巴拉圭風鈴木|天人菊|鯨魚花
絨毛,14,surface_hair,tomentose,direct,大葉野百合|光葉刈藤|刺五泡藤
缺乏詳細形態特徵描述,14,,,UNMAPPED,黃果豬母乳|天仙果|尖尾長葉榕
葉腋花序,14,,,UNMAPPED,瓜馥木|刺桂|刺格
闊卵形,14,,,UNMAPPED,木苺|多果獼猴桃|刺五泡藤
革質,14,leaf_texture,coriaceous,direct,山刈葉|光葉刈藤|油橄欖
黃花,14,flower_color,yellow,direct,大葉山扁豆|山棕|羊角豆
低海拔分布,13,,,UNMAPPED,大葉九重吹|山漆莖|山石榴
側脈,13,,,UNMAPPED,小西氏鐵樹|小果紫薇|拘那花
卵形果實,13,fruit_shape,ovoid,direct,白瑞香|尖葉柃木|老鼠矢
叢生,13,leaf_arrangement,basal,direct,巨竹|矢竹仔|酒椰子
基苞,13,,,UNMAPPED,九重吹|山榕|牛奶榕
多樣花色,13,,,UNMAPPED,大理花|天竺葵|長壽花
尚未有詳細描述,13,,,UNMAPPED,波葉櫟|澀葉榕|長梗盤花麻
星狀毛茸,13,,,UNMAPPED,土煙仔|山菸草|生毛將軍
楔基,13,,,UNMAPPED,山螞蝗|地仙公|枸杞子
海岸植物,13,,,UNMAPPED,山檨仔|水芫花|白樹仔
淡黃色花,13,,,UNMAPPED,大葉山螞蝗|冇桂|有刺赤蘭
異株花,13,,,UNMAPPED,大冇樹|木犀|波緣冬青
簇生花序,13,,,UNMAPPED,川上氏小蘗|牛奶果|王不留行
紅色種子,13,,,UNMAPPED,七里香|小葉刺果衛矛|刺果衛矛
蜜源植物,13,,,UNMAPPED,丹荔|火山|兔尾草
近圓形葉,13,leaf_shape,orbicular,strip:近圓形,玉葉金花|含笑花|厚殼仔
鈍端,13,,,UNMAPPED,山丹|山柑仔|五指香櫞
銳刺,13,,,UNMAPPED,三叉寒莓黃泡|小葉黃肉樹|毛里斯麻
互生葉片,12,leaf_arrangement,alternate,strip:互生,山苺|毛萼懸鉤子|尾萼豆
叢生葉序,12,leaf_arrangement,basal,strip:叢生,石竹|芒果|長枝竹
圓形葉,12,leaf_shape,orbicular,strip:圓形,大葉樹青|玉山懸鉤子|地莓
多年生草本植物,12,,,UNMAPPED,黃蓳|百蕊草|馬齒莧
平滑葉面,12,,,UNMAPPED,小西氏榕|打破碗花|皮孫木
橢圓狀卵形,12,,,UNMAPPED,西印度櫻桃|亞荔枝|昔來薩樹
毛被,12,,,UNMAPPED,大葉貓尾草|七面芙蓉|光葉茶梅
漏斗形花冠,12,,,UNMAPPED,大花曼陀羅|守城滿山紅|沙漠玫瑰
無刺,12,,,UNMAPPED,皮孫木|松柏|松蘿
熱帶植物,12,,,UNMAPPED,大王椰子|山刺番荔枝|天波羅
紅褐色心材,12,,,UNMAPPED,三斗石櫟|山龍眼|赤皮杜仔
紫色花冠,12,,,UNMAPPED,三十六蕩|三十六蕩|玉蕊
針形葉,12,,,UNMAPPED,日本黑松|玉山雲杉|玉山圓柏
銳形基部,12,,,UNMAPPED,水刀蓮|水冬瓜|牛栓藤
高海拔,12,,,UNMAPPED,太平山櫻|青棉花|厚葉柃木
佛燄花序,11,,,UNMAPPED,古古椰子|紅刺露兜|寶花羊蹄甲
倒卵形小葉,11,,,UNMAPPED,小葉山螞蝗|毛馬棘|羊屎柴
冬季開花,11,,,UNMAPPED,仙克來|三色堇|仙克來
四稜莖,11,,,UNMAPPED,大葉野百合|日本衛矛|白埔姜
多年生灌木,11,,,UNMAPPED,宮粉仙丹|鳥尾花|連翹
宿存萼片,11,,,UNMAPPED,八角金盤|山梨|山黃梔
抗旱,11,,,UNMAPPED,三春柳|日本黑松|西河柳
杯狀殼斗,11,,,UNMAPPED,白校欑|夜合樹|東埔羅瑞草
榕果,11,,,UNMAPPED,山豬枷|文頭果|牛奶柴
橙黃色果實,11,,,UNMAPPED,山柑|山柚仔|山檨仔
波狀緣葉,11,leaf_margin,wavy,strip:波狀緣,大頭茶|大冇樹|玉山木薑子
球根,11,,,UNMAPPED,仙克來|仙克來|薑荷花
瘦果,11,fruit_type,achene,direct,山木柳|玉山矢竹|艾麻
紅紫色果實,11,,,UNMAPPED,大葉桂櫻|大葉櫻|山秀英
線形,11,leaf_shape,linear,direct,土杉|玉山箭竹|柄葉筆筒樹
線形小葉,11,,,UNMAPPED,刺球花|披針葉豬屎豆|長葉野百合
腺狀鋸齒緣,11,leaf_margin,serrate,rule:margin,土常山|山茶葉灰木|白礬
膜質葉,11,,,UNMAPPED,山蒼樹|山雞椒|山胡椒
芒尖,11,,,UNMAPPED,伏牛花|印度苦櫧|刺桂
覆瓦狀鱗片,11,,,UNMAPPED,合斗石櫟|杜仔|東南石櫟
針刺,11,,,UNMAPPED,木羊齒|伏牛花|虎夾
銳基部,11,,,UNMAPPED,白子仔|白飯樹|白頭額仔樹
銳鋸齒緣,11,leaf_margin,serrate,rule:margin,小葉白筆|玉山莢迷|佐佐木灰木
銳頭,11,,,UNMAPPED,千金拔|大枝掛繡球|全綠葉繡球
長橢圓披針形,11,,,UNMAPPED,三春柳|一條根|朱纓花
長橢圓狀披針形葉形,11,,,UNMAPPED,大葉檞寄生|山芥菜|幼葉樟
革質葉片,11,leaf_texture,coriaceous,strip:革質,白檀|苗栗冬青|香果樹
頂生花,11,,,UNMAPPED,西施花|油茶|阿里山杜鵑
鱗片狀葉,11,,,UNMAPPED,三春柳|西湖柳|亞杉
黃色花冠,11,,,UNMAPPED,水草|草海桐|梨仔
三角狀卵形,10,,,UNMAPPED,葉懸鉤子|木苺|思維樹
側脈多數,10,,,UNMAPPED,小西氏榕|天波羅|吊皮栲
光滑葉面,10,,,UNMAPPED,光葉茶梅|泛能高山茶|長葉木薑子
全緣/波狀緣,10,leaf_margin,entire,rule:margin,山刺番荔枝|毛寶巾|白旃檀
卵狀橢圓形,10,,,UNMAPPED,子楝樹|小葉冬青|山秀英
多肉植物,10,,,UNMAPPED,石蓮花|螃蟹蘭|七寶樹
常綠灌木,10,,,UNMAPPED,夜來香|松紅梅|野牡丹
常見植物,10,,,UNMAPPED,青楊梅|百蕊草|山柚
快速生長,10,,,UNMAPPED,大葉桃花心木|狗尾草|南洋楹
抗風,10,,,UNMAPPED,東埔羅瑞草|青珊瑚|栓皮櫟
攀緣植物,10,,,UNMAPPED,臺灣常春藤|火龍果|珊瑚藤
毛茸,10,,,UNMAPPED,毛果柃木|毛鉤藤|木豆
氣根,10,special_features,aerial_root,rule:special,五梨跤|方竹|四季竹
特殊氣味,10,,,UNMAPPED,紅椿|臭屎楠|臭娘子
球根花卉,10,,,UNMAPPED,西洋水仙|韭蘭|宮燈百合
球狀果實,10,,,UNMAPPED,大明橘|大葉赤榕|小葉羅漢松
白色乳汁,10,,,UNMAPPED,紅背酸藤|海檬果|酸葉膠藤
短圓錐花序,10,,,UNMAPPED,九芎舅|小葉黃肉樹|山相思
細毛,10,,,UNMAPPED,小葉冬青|冇打|金露花
線形葉片,10,leaf_shape,linear,strip:線形,大花田青|白蝴蝶|菽麻
繖房狀花序,10,inflorescence,corymb,rule:infl,大枝掛繡球|全綠葉繡球|長葉冬青
翅狀種子,10,,,UNMAPPED,大頭茶|巴西紫葳|巴拉圭風鈴木
聚繖狀圓錐花序,10,,,UNMAPPED,中原氏掌葉槭|北清香藤|青皮楓
腺窩,10,,,UNMAPPED,牛樟|冇樟|油樟
藍黑色果實,10,,,UNMAPPED,土楠|玉山圓柏|白背黃肉楠
裂緣,10,,,UNMAPPED,三叉寒莓黃泡|三裂葉葛藤|七面芙蓉
輻狀花冠,10,,,UNMAPPED,牛皮消|玉蝶梅|白首烏
近圓形葉形,10,,,UNMAPPED,虱母子|紅虱母子|扇葉葵
鈍頭,10,,,UNMAPPED,山螞蝗|太白山杭子梢|厚距花
鱗片,10,,,UNMAPPED,木羊齒|多枝紫金牛|赤楠
黃綠色花,10,,,UNMAPPED,山柑|山柚仔|山柑仔
黃色花瓣,10,,,UNMAPPED,山茄|時鐘藤|王爺葵
下垂花朵,9,,,UNMAPPED,枇杷葉山礬|金露花|春不老
互生小葉,9,leaf_arrangement,alternate,contains:互生,千金不藤|王棕|凹葉紅合歡
先端鈍,9,,,UNMAPPED,小香藤|月橘|瓜馥木
卵圓形果實,9,,,UNMAPPED,山薔薇|四川灰木|軟葉刺葵
卵狀心形葉,9,,,UNMAPPED,牛皮消|白首烏|耳葉牛皮消
反捲葉緣,9,,,UNMAPPED,三斗石櫟|山豬枷|夾竹桃
團繖花序,9,,,UNMAPPED,水麻|四川灰木|希蘭灰木
小花,9,,,UNMAPPED,交讓木|米蘭|米仔蘭
常綠喬木,9,,,UNMAPPED,玉蘭花|火焰木|馬拉巴栗
披針形花瓣,9,,,UNMAPPED,老鼠矢|拔子雞油|松村氏野茉莉
披針形蓇葖果,9,,,UNMAPPED,牛皮消|白首烏|耳葉牛皮消
春季開花,9,,,UNMAPPED,西洋蒲公英|黃金風鈴木|蝴蝶之舞
暗紫色果實,9,,,UNMAPPED,火炭楠|冬青油樹|白珠樹
有刺,9,surface_hair,spiny,direct,珊瑚刺桐|能高懸鉤子|象牙紅
梨果,9,,,UNMAPPED,小西氏鐵樹|花楸|高山鐵樹
海濱植物,9,,,UNMAPPED,水草|同心結|爬森藤
淡紫紅色花,9,,,UNMAPPED,一條根|杜虹花|恆春黃槿
淺裂葉緣,9,leaf_margin,lobed,strip:淺裂,玉山懸鉤子|羽萼懸鉤子|知本懸鉤子
灰白色背面,9,,,UNMAPPED,火索藤|白子仔|白飯樹
白粉,9,,,UNMAPPED,竹柏|刺柏|虎氏懸鉤子
白色花色,9,,,UNMAPPED,大金英|山石榴|刺梨子
短絨毛,9,,,UNMAPPED,白葉仔|直角莢迷|柳莓
簇生葉序,9,,,UNMAPPED,白丁花|白馬骨|矢竹仔
紅種子,9,,,UNMAPPED,大南蛇|七里香|凹葉紅豆
緣毛,9,,,UNMAPPED,小金櫻|小葉白筆|毛柱杜鵑
芳香性,9,,,UNMAPPED,山蒼樹|山雞椒|山肉桂
芳香氣味,9,,,UNMAPPED,刺球花|茶|文殊蘭
葉腋開花,9,,,UNMAPPED,非洲菫|鳳仙花|煙斗花藤
蓮座狀葉序,9,leaf_arrangement,basal,strip:蓮座狀,葉牡丹|擎天鳳梨|絨葉小鳳梨
蘭嶼特有,9,endemism,endemic,rule:endemism,天竺桂|青脆枝|紅頭嶼鐵莧
蜜腺,9,,,UNMAPPED,六捻仔|柿糊木|紅果果
輪生葉,9,leaf_arrangement,whorled,direct,五掌楠|皮孫木|黑實小蘗
